marque,modele,periode,moteur,distribution,puissance_ch,entretien_km,entretien_ans,brand_slug,model_slug
Alfa Romeo,Giulia,Giulia 2.2 Diesel Multijet II 2016-…,2.2 Diesel Multijet II,CHAÎNE,150-210,-,-,alfa-romeo,alfa-romeo-giulia
Alfa Romeo,Giulia Quadrifoglio,Giulia Quadrifoglio 2.9 V6 Bi-Turbo 2016-…,2.9 V6 Bi-Turbo,CHAÎNE,510,-,-,alfa-romeo,alfa-romeo-giulia-quadrifoglio
Alfa Romeo,Giulietta,Giulietta 1.4 TB MultiAir 2010-2020,1.4 TB MultiAir,CHAÎNE,105-170,-,-,alfa-romeo,alfa-romeo-giulietta
Alfa Romeo,Giulietta,Giulietta 1750 TBi Quadrifoglio 2010-2020,1750 TBi Quadrifoglio,CHAÎNE,235-240,-,-,alfa-romeo,alfa-romeo-giulietta
Alfa Romeo,Giulietta,Giulietta 1.6 2010-2020,1.6,COURROIE,105-150,150000 km,-,alfa-romeo,alfa-romeo-giulietta
Alfa Romeo,Giulietta,Giulietta 2.0 JTDm 2010-2020,2.0 JTDm,COURROIE,105-150,150000 km,-,alfa-romeo,alfa-romeo-giulietta
Alfa Romeo,GT,GT 1.8 2003-2010,1.8,COURROIE,140-150,60000 km,-,alfa-romeo,alfa-romeo-gt
Alfa Romeo,GT,GT 2.0 Twin Spark 2003-2010,2.0 Twin Spark,COURROIE,140-150,-,4 ans,alfa-romeo,alfa-romeo-gt
Alfa Romeo,GT,GT 3.2 V6 GTA (Busso) 2003-2010,3.2 V6 GTA (Busso),COURROIE,240,60000 km,4 ans,alfa-romeo,alfa-romeo-gt
Alfa Romeo,GT,GT 1.9 JTD 2003-2010,1.9 JTD,COURROIE,140-170,120000-150000 km,-,alfa-romeo,alfa-romeo-gt
Alfa Romeo,GT,GT JTDm 2003-2010,JTDm,COURROIE,140-170,120000-150000 km,-,alfa-romeo,alfa-romeo-gt
Alfa Romeo,Junior,Junior 1.2 Hybrid P2 e-DCT (2024-2025),1.2 Hybrid P2 e-DCT,CHAÎNE,145,-,-,alfa-romeo,alfa-romeo-junior
Alfa Romeo,Stelvio,Stelvio 2.0 Turbo GME 2017-…,2.0 Turbo GME,CHAÎNE,200-280,-,-,alfa-romeo,alfa-romeo-stelvio
Alfa Romeo,Stelvio,Stelvio 2.2 Diesel Multijet II 2017-…,2.2 Diesel Multijet II,CHAÎNE,150-210,-,-,alfa-romeo,alfa-romeo-stelvio
Alfa Romeo,Stelvio Quadrifoglio,Stelvio Quadrifoglio 2.9 V6 Bi-Turbo 2017-…,2.9 V6 Bi-Turbo,CHAÎNE,510,-,-,alfa-romeo,alfa-romeo-stelvio-quadrifoglio
Alfa Romeo,Tonale,Tonale 1.5 Hybrid 2022-…,1.5 Hybrid,CHAÎNE,130-160,-,-,alfa-romeo,alfa-romeo-tonale
Alfa Romeo,Tonale,Tonale 1.3 PHEV 2022-…,1.3 PHEV,CHAÎNE,130-160,-,-,alfa-romeo,alfa-romeo-tonale
Alfa Romeo,Tonale,Tonale 1.6 Diesel Multijet 2022-…,1.6 Diesel Multijet,COURROIE,130,150000 km,-,alfa-romeo,alfa-romeo-tonale
Alpine,A110,A110 1.8 TCe Turbo Première édition (2017-2018),1.8 TCe Turbo,CHAÎNE,252,-,-,alpine,a110
Alpine,A110 E-ternité,A110 E-ternité Électrique (RWD) Prototype (2022),Électrique (RWD),N/A (électrique),-,-,-,alpine,a110-e-ternite
Alpine,A110 GT / S,A110 GT / S 1.8 TCe Turbo Phase 2 (2021-2023),1.8 TCe Turbo,CHAÎNE,300,-,-,alpine,a110-gt-s
Alpine,A110 Pure / Légende,A110 Pure / Légende 1.8 TCe Turbo Phase 1 (2018-2020),1.8 TCe Turbo,CHAÎNE,252,-,-,alpine,a110-pure-legende
Alpine,A110 R,A110 R 1.8 TCe Turbo Phase 2 (2023-2025),1.8 TCe Turbo,CHAÎNE,300,-,-,alpine,a110-r
Alpine,A110 R Turini,A110 R Turini 1.8 TCe Turbo Phase 2 (2024-2025),1.8 TCe Turbo,CHAÎNE,300,-,-,alpine,a110-r-turini
Alpine,A110S,A110S 1.8 TCe Turbo Phase 1 (2019-2021),1.8 TCe Turbo,CHAÎNE,292,-,-,alpine,a110s
Alpine,A290,A290 Électrique (FWD) Prototype 2024 / Série 2025,Électrique (FWD),N/A (électrique),~220,-,-,alpine,a290
Alpine,GT X-Over,GT X-Over Électrique AWD Concept 2024 / Série 2026,Électrique AWD,N/A (électrique),~400,-,-,alpine,gt-x-over
Aston Martin,DB11,DB11 V12 5.2 bi-turbo 2016-…,V12 5.2 bi-turbo,CHAÎNE,600-639,-,-,aston-martin,aston-martin-db11
Aston Martin,DB11,DB11 V8 4.0 AMG bi-turbo 2017-…,V8 4.0 AMG bi-turbo,CHAÎNE,503-535,-,-,aston-martin,aston-martin-db11
Aston Martin,DB12,DB12 4.0 V8 Biturbo (2023-2025),4.0 V8 Biturbo,CHAÎNE,680,-,-,aston-martin,aston-martin-db12
Aston Martin,DB9,DB9 V12 5.9 2004-2016,V12 5.9,CHAÎNE,450-517,-,-,aston-martin,aston-martin-db9
Aston Martin,DBS,DBS V12 5.9 2007-2012,V12 5.9,CHAÎNE,517-540,-,-,aston-martin,aston-martin-dbs
Aston Martin,DBS Superleggera,DBS Superleggera V12 5.2 bi-turbo 2018-…,V12 5.2 bi-turbo,CHAÎNE,725,-,-,aston-martin,aston-martin-dbs-superleggera
Aston Martin,DBX,DBX 4.0 V8 Biturbo (2020-2025),4.0 V8 Biturbo,CHAÎNE,550,-,-,aston-martin,aston-martin-dbx
Aston Martin,DBX707,DBX707 4.0 V8 Biturbo (haute performance) (2022-2025),4.0 V8 Biturbo (haute performance),CHAÎNE,707,-,-,aston-martin,aston-martin-dbx707
Aston Martin,One-77,One-77 V12 7.3 Cosworth 2009-2012,V12 7.3 Cosworth,CHAÎNE,750,-,-,aston-martin,aston-martin-one-77
Aston Martin,Rapide,Rapide V12 5.9 2009-2020,V12 5.9,CHAÎNE,477-560,-,-,aston-martin,aston-martin-rapide
Aston Martin,V8 Vantage,V8 Vantage V8 4.3 AJ-V8 2005-2017,V8 4.3 AJ-V8,CHAÎNE,380-420,-,-,aston-martin,aston-martin-v8-vantage
Aston Martin,Valhalla,Valhalla V8 4.0 AMG Hybride 2024-…,V8 4.0 AMG Hybride,CHAÎNE,700+,-,-,aston-martin,aston-martin-valhalla
Aston Martin,Valkyrie,Valkyrie V12 6.5 Cosworth Hybride 2021-…,V12 6.5 Cosworth Hybride,CHAÎNE,1000+,-,-,aston-martin,aston-martin-valkyrie
Aston Martin,Vanquish,Vanquish V12 5.9 2001-2007,V12 5.9,CHAÎNE,460-520,-,-,aston-martin,aston-martin-vanquish
Aston Martin,Vanquish,Vanquish V12 5.9 2012-2018,V12 5.9,CHAÎNE,565-603,-,-,aston-martin,aston-martin-vanquish
Aston Martin,Vantage,Vantage V8 4.0 AMG bi-turbo 2018-…,V8 4.0 AMG bi-turbo,CHAÎNE,510-550,-,-,aston-martin,aston-martin-vantage
Aston Martin,Virage,Virage V12 5.9 2011-2012,V12 5.9,CHAÎNE,490,-,-,aston-martin,aston-martin-virage
Audi,A1,A1 1.2 TFSI (EA111) 8X (2010-2018),1.2 TFSI (EA111),CHAÎNE,86-105,-,-,audi,a1
Audi,A1,A1 1.4 TFSI (EA211) 8X (2010-2018),1.4 TFSI (EA211),COURROIE,122-185,180-210 000 km,8-10 ans,audi,a1
Audi,A1,A1 1.6 TDI (EA189 8X (2010-2018),1.6 TDI (EA189,COURROIE,90-116,160-210 000 km,-,audi,a1
Audi,A1,A1 EA288) 8X (2010-2018),EA288),COURROIE,90-116,-,6-10 ans,audi,a1
Audi,A1,A1 2.0 TDI (EA189 8X (2010-2018),2.0 TDI (EA189,COURROIE,143-143,160-210 000 km,-,audi,a1
Audi,A1,A1 EA288) 8X (2010-2018),EA288),COURROIE,143-143,-,6-10 ans,audi,a1
Audi,A1,A1 1.0 TFSI (EA211) GB (2019-2025),1.0 TFSI (EA211),COURROIE,95-116,180-210 000 km,8-10 ans,audi,a1
Audi,A1,A1 1.5 TFSI (EA211 evo) GB (2019-2025),1.5 TFSI (EA211 evo),COURROIE,150,180-210 000 km,8-10 ans,audi,a1
Audi,A1,A1 2.0 TFSI (EA888) GB (2019-2025),2.0 TFSI (EA888),CHAÎNE,200,-,-,audi,a1
Audi,A3,A3 1.8T 20v (EA113) 8L (2000-2003),1.8T 20v (EA113),COURROIE,150-180,120-150 000 km,5-6 ans,audi,a3
Audi,A3,A3 2.0 TFSI (EA113 puis EA888) 8P (2003-2012),2.0 TFSI (EA113 puis EA888),COURROIE,200-265,-,-,audi,a3
Audi,A3,A3 2.0 TFSI (EA888) 8V (2012-2020),2.0 TFSI (EA888),CHAÎNE,190-310,-,-,audi,a3
Audi,A3,A3 1.4 8V (2012-2020),1.4,COURROIE,122-150,180-210 000 km,-,audi,a3
Audi,A3,A3 1.5 TFSI (EA211) 8V (2012-2020),1.5 TFSI (EA211),COURROIE,122-150,-,8-10 ans,audi,a3
Audi,A3,A3 1.0 8Y (2020-2025),1.0,COURROIE,110-150,180-210 000 km,-,audi,a3
Audi,A3,A3 1.5 TFSI (EA211) 8Y (2020-2025),1.5 TFSI (EA211),COURROIE,110-150,-,8-10 ans,audi,a3
Audi,A4,A4 1.8T 20v (EA113) B6 (2001-2006),1.8T 20v (EA113),COURROIE,150-190,120-150 000 km,5-6 ans,audi,a4
Audi,A4,A4 2.0 FSI B6/B7 (2001-2008),2.0 FSI,COURROIE,150-220,120-150 000 km,-,audi,a4
Audi,A4,A4 TFSI (EA113) B6/B7 (2001-2008),TFSI (EA113),COURROIE,150-220,-,5-6 ans,audi,a4
Audi,A4,A4 2.0 TFSI (EA888) B8 (2008-2015),2.0 TFSI (EA888),CHAÎNE,180-225,-,-,audi,a4
Audi,A4,A4 2.0 TFSI (EA888 gen3) B9 (2015-2024),2.0 TFSI (EA888 gen3),CHAÎNE,150-265,-,-,audi,a4
Audi,A5,A5 2.0 TFSI (EA888) B9/B10 (2016-2025),2.0 TFSI (EA888),CHAÎNE,190-265,-,-,audi,a5
Audi,A6,A6 2.4 C5/C6 (2000-2011),2.4,INCONNU,170-335,-,-,audi,a6
Audi,A6,A6 3.2 C5/C6 (2000-2011),3.2,CHAÎNE,170-335,-,-,audi,a6
Audi,A6,A6 4.2 FSI & 2.7 C5/C6 (2000-2011),4.2 FSI & 2.7,CHAÎNE,170-335,-,-,audi,a6
Audi,A6,A6 3.0 TDI C5/C6 (2000-2011),3.0 TDI,CHAÎNE,170-335,-,-,audi,a6
Audi,A6,A6 2.0 TFSI EA888 C7/C8/C9 (2011-2025),2.0 TFSI EA888,CHAÎNE,190-340+,-,-,audi,a6
Audi,A6,A6 3.0 TFSI EA839 C7/C8/C9 (2011-2025),3.0 TFSI EA839,CHAÎNE,190-340+,-,-,audi,a6
Audi,A6,A6 3.0 TDI C7/C8/C9 (2011-2025),3.0 TDI,CHAÎNE,190-340+,-,-,audi,a6
Audi,A7,A7 2.0 EA888 4G/4K (2010-2025),2.0 EA888,CHAÎNE,190-450,-,-,audi,a7
Audi,A7,A7 3.0 EA839 4G/4K (2010-2025),3.0 EA839,CHAÎNE,190-450,-,-,audi,a7
Audi,A7,A7 3.0 TDI 4G/4K (2010-2025),3.0 TDI,CHAÎNE,190-450,-,-,audi,a7
Audi,A8,A8 3.0 TFSI D3/D4/D5 (2003-2025),3.0 TFSI,CHAÎNE,204-571,-,-,audi,a8
Audi,A8,A8 4.0 TFSI D3/D4/D5 (2003-2025),4.0 TFSI,CHAÎNE,204-571,-,-,audi,a8
Audi,A8,A8 W12 D3/D4/D5 (2003-2025),W12,CHAÎNE,204-571,-,-,audi,a8
Audi,A8,A8 3.0 TDI D3/D4/D5 (2003-2025),3.0 TDI,CHAÎNE,204-571,-,-,audi,a8
Audi,Q2,Q2 1.0 GA (2017-2025),1.0,COURROIE,95-190,-,-,audi,q2
Audi,Q2,Q2 1.5 EA211 GA (2017-2025),1.5 EA211,CHAÎNE,116-190,-,-,audi,q2
Audi,Q2,Q2 2.0 EA888 GA (2017-2025),2.0 EA888,COURROIE,116-190,-,-,audi,q2
Audi,Q2,Q2 1.6 GA (2017-2025),1.6,COURROIE,116-190,-,-,audi,q2
Audi,Q2,Q2 2.0 TDI GA (2017-2025),2.0 TDI,COURROIE,116-190,-,-,audi,q2
Audi,Q3,Q3 1.4 8U/F3 (2011-2025),1.4,COURROIE,150-245,-,-,audi,q3
Audi,Q3,Q3 1.5 EA211 8U/F3 (2011-2025),1.5 EA211,CHAÎNE,120-200,-,-,audi,q3
Audi,Q3,Q3 2.0 EA888 8U/F3 (2011-2025),2.0 EA888,COURROIE,120-200,-,-,audi,q3
Audi,Q3,Q3 2.0 TDI 8U/F3 (2011-2025),2.0 TDI,COURROIE,120-200,-,-,audi,q3
Audi,Q5,Q5 2.0 EA888 8R/FY (2008-2024),2.0 EA888,INCONNU,150-354,-,-,audi,q5
Audi,Q5,Q5 3.0 EA837 8R/FY (2008-2024),3.0 EA837,INCONNU,143-204,-,-,audi,q5
Audi,Q5,Q5 EA839 8R/FY (2008-2024),EA839,CHAÎNE,143-204,-,-,audi,q5
Audi,Q5,Q5 2.0 TDI 8R/FY (2008-2024),2.0 TDI,COURROIE,143-204,-,-,audi,q5
Audi,Q5 (80A),Q5 (80A) 2.0 EA888 -2024,2.0 EA888,CHAÎNE,204-354,-,-,audi,q5-80a
Audi,Q5 (80A),Q5 (80A) 3.0 EA839 -2024,3.0 EA839,CHAÎNE,204-354,-,-,audi,q5-80a
Audi,Q7,Q7 3.0 TFSI 4L/4M (2005-2025),3.0 TFSI,CHAÎNE,204-350+,-,-,audi,q7
Audi,Q7,Q7 4.2 FSI 4L/4M (2005-2025),4.2 FSI,CHAÎNE,204-350+,-,-,audi,q7
Audi,Q7,Q7 3.0 TDI 4L/4M (2005-2025),3.0 TDI,CHAÎNE,204-350+,-,-,audi,q7
Audi,Q7,Q7 4.2 TDI 4L/4M (2005-2025),4.2 TDI,CHAÎNE,204-350+,-,-,audi,q7
Audi,Q8,Q8 3.0 TFSI EA839 4M (2018-2025),3.0 TFSI EA839,CHAÎNE,286-507,-,-,audi,q8
Audi,Q8,Q8 4.0 V8 EA825 4M (2018-2025),4.0 V8 EA825,CHAÎNE,286-507,-,-,audi,q8
Audi,Q8,Q8 3.0 TDI 4M (2018-2025),3.0 TDI,CHAÎNE,286-507,-,-,audi,q8
Audi,R8,R8 4.2 V8 FSI Type 42 (2007-2015),4.2 V8 FSI,CHAÎNE,420-560,-,-,audi,r8
Audi,R8,R8 5.2 V10 FSI Type 42 (2007-2015),5.2 V10 FSI,CHAÎNE,420-560,-,-,audi,r8
Audi,R8,R8 5.2 V10 FSI Type 4S (2015-2024),5.2 V10 FSI,CHAÎNE,540-620,-,-,audi,r8
Audi,RS 3,RS 3 2.5 TFSI (DAZA 8V (2015-2020),2.5 TFSI (DAZA,CHAÎNE,367-400,-,-,audi,rs-3
Audi,RS 3,RS 3 CEPA) 8V (2015-2020),CEPA),CHAÎNE,367-400,-,-,audi,rs-3
Audi,RS 3,RS 3 2.5 TFSI (DNW 8Y (2022- ),2.5 TFSI (DNW,CHAÎNE,400,-,-,audi,rs-3
Audi,RS 3,RS 3 DAZA evo) 8Y (2022- ),DAZA evo),CHAÎNE,400,-,-,audi,rs-3
Audi,RS 4,RS 4 4.2 V8 FSI B7 (2006-2008),4.2 V8 FSI,CHAÎNE,420,-,-,audi,rs-4
Audi,RS 4,RS 4 2.9 V6 TFSI (EA839) B9 (2018-2024),2.9 V6 TFSI (EA839),CHAÎNE,450,-,-,audi,rs-4
Audi,RS 5,RS 5 4.2 V8 FSI→2.9 V6 EA839 8T/B9 (2010-2024),4.2 V8 FSI→2.9 V6 EA839,CHAÎNE,450,-,-,audi,rs-5
Audi,RS 6,RS 6 4.2 V8→5.0 V10→4.0 V8 C5/C6/C7/C8 (2002- ),4.2 V8→5.0 V10→4.0 V8,CHAÎNE,450-630,-,-,audi,rs-6
Audi,RS Q3,RS Q3 2.5 TFSI 8U/F3 (2013-2024),2.5 TFSI,CHAÎNE,310-400,-,-,audi,rs-q3
Audi,RS Q8,RS Q8 4.0 V8 TFSI 4M (2020- ),4.0 V8 TFSI,CHAÎNE,600-630,-,-,audi,rs-q8
Audi,S1,S1 2.0 TFSI (EA888) 8X (2014-2018),2.0 TFSI (EA888),CHAÎNE,231,-,-,audi,s1
Audi,S3,S3 1.8T 20v (225) (EA113) 8L (1999-2003),1.8T 20v (225) (EA113),COURROIE,210-225,120-150 000 km,5-6 ans,audi,s3
Audi,S3,S3 2.0 TFSI (EA113) 8P (2006-2012),2.0 TFSI (EA113),COURROIE,265,120-150 000 km,5-6 ans,audi,s3
Audi,S3,S3 2.0 TFSI (EA888 gen4) 8Y (2020-2025),2.0 TFSI (EA888 gen4),CHAÎNE,310-333,-,-,audi,s3
Audi,S4,S4 4.2 V8 FSI B6/B7 (2003-2008),4.2 V8 FSI,CHAÎNE,344-349,-,-,audi,s4
Audi,S4,S4 3.0 TFSI V6 (EA837) B8 (2009-2016),3.0 TFSI V6 (EA837),CHAÎNE,333,-,-,audi,s4
Audi,S6,S6 5.2 V10 FSI C6 (2006-2011),5.2 V10 FSI,CHAÎNE,435,-,-,audi,s6
Audi,S7/RS 7,S7/RS 7 4.0 V8 TFSI 4G/4K (2012-2025),4.0 V8 TFSI,CHAÎNE,420-630,-,-,audi,s7-rs-7
Audi,S8,S8 5.2 V10→4.0 V8 TFSI D3/D4/D5 (2006-2025),5.2 V10→4.0 V8 TFSI,CHAÎNE,450-571,-,-,audi,s8
Audi,SQ7/SQ8,SQ7/SQ8 4.0 TDI→4.0 TFSI 4M (2016-2025),4.0 TDI→4.0 TFSI,CHAÎNE,435→507,-,-,audi,sq7-sq8
Audi,TT,TT 2.0 TFSI (EA113→EA888) 8J (2006-2014),2.0 TFSI (EA113→EA888),COURROIE,200-340,-,-,audi,tt
Audi,TT,TT TTS 8J (2006-2014),TTS,COURROIE,200-340,-,-,audi,tt
Audi,TT,TT TT RS 8J (2006-2014),TT RS,COURROIE,200-340,-,-,audi,tt
Audi,TT,TT 1.8T 20v (EA113) 8N (1998-2006),1.8T 20v (EA113),COURROIE,150-250,-,-,audi,tt
Audi,TT,TT 3.2 VR6 8N (1998-2006),3.2 VR6,CHAÎNE,250,-,-,audi,tt
Audi,TT,TT 1.8 8S (2014-2023),1.8,CHAÎNE,180-400,-,-,audi,tt
Audi,TT,TT 2.0 TFSI (EA888) 8S (2014-2023),2.0 TFSI (EA888),CHAÎNE,180-400,-,-,audi,tt
Audi,TT,TT TTS 8S (2014-2023),TTS,CHAÎNE,180-400,-,-,audi,tt
Audi,TT,TT TT RS 8S (2014-2023),TT RS,CHAÎNE,180-400,-,-,audi,tt
BMW,i3 REx,i3 REx Range Extender essence I01 (2013-2022),Range Extender essence,CHAÎNE,34-38,-,-,bmw,i3-rex
BMW,i8,i8 1.5 essence + hybride I12 (2014-2020),1.5 essence + hybride,CHAÎNE,231 + e,-,-,bmw,i8
BMW,Série 1,Série 1 1.6 E87 (2004-2011),1.6,CHAÎNE,115-150,-,-,bmw,serie-1
BMW,Série 1,Série 1 1.8 E87 (2004-2011),1.8,CHAÎNE,115-150,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 essence E87 (2004-2011),2.0 essence,CHAÎNE,115-150,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 diesel E87 (2004-2011),2.0 diesel,CHAÎNE,122-163,-,-,bmw,serie-1
BMW,Série 1,Série 1 1.6 E87 (2007-2011),1.6,CHAÎNE,122-170,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 essence DI E87 (2007-2011),2.0 essence DI,CHAÎNE,122-170,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 diesel E87 (2007-2011),2.0 diesel,CHAÎNE,116-204,-,-,bmw,serie-1
BMW,Série 1,Série 1 1.6 essence turbo F20 (2011-2015),1.6 essence turbo,CHAÎNE,102-170,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 essence turbo F20 (2012-2019),2.0 essence turbo,CHAÎNE,184-245,-,-,bmw,serie-1
BMW,Série 1,Série 1 1.5 F20 LCI (2015-2019),1.5,CHAÎNE,109-192,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 essence F20 LCI (2015-2019),2.0 essence,CHAÎNE,109-192,-,-,bmw,serie-1
BMW,Série 1,Série 1 M135i F20/F21,M135i,CHAÎNE,320-340,-,-,bmw,serie-1
BMW,Série 1,Série 1 M140i F20/F21,M140i,CHAÎNE,320-340,-,-,bmw,serie-1
BMW,Série 1,Série 1 1.5 F20/F21,1.5,CHAÎNE,95-190,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 diesel F20/F21,2.0 diesel,CHAÎNE,95-190,-,-,bmw,serie-1
BMW,Série 1,Série 1 1.5 F40 (2019-2024),1.5,CHAÎNE,109-306,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 essence F40 (2019-2024),2.0 essence,CHAÎNE,109-306,-,-,bmw,serie-1
BMW,Série 1,Série 1 1.5 F40 (2019-2024),1.5,CHAÎNE,116-190,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 diesel F40 (2019-2024),2.0 diesel,CHAÎNE,116-190,-,-,bmw,serie-1
BMW,Série 1,Série 1 1.5 F70 (2024-2025),1.5,CHAÎNE,136-300,-,-,bmw,serie-1
BMW,Série 1,Série 1 2.0 TwinPower Turbo F70 (2024-2025),2.0 TwinPower Turbo,CHAÎNE,136-300,-,-,bmw,serie-1
BMW,Série 2,Série 2 M235i F22 (2014-2021),M235i,CHAÎNE,326-340,-,-,bmw,serie-2
BMW,Série 2,Série 2 M240i F22 (2014-2021),M240i,CHAÎNE,326-340,-,-,bmw,serie-2
BMW,Série 2,Série 2 1.5 F22/F23,1.5,CHAÎNE,116-190,-,-,bmw,serie-2
BMW,Série 2,Série 2 2.0 diesel F22/F23,2.0 diesel,CHAÎNE,116-190,-,-,bmw,serie-2
BMW,Série 2,Série 2 2.0 essence F22/F23 (2013-2021),2.0 essence,CHAÎNE,184-252,-,-,bmw,serie-2
BMW,Série 2,Série 2 2.0 G42 (2021-…),2.0,CHAÎNE,184-374,-,-,bmw,serie-2
BMW,Série 2,Série 2 3.0 essence G42 (2021-…),3.0 essence,CHAÎNE,184-374,-,-,bmw,serie-2
BMW,Série 2 Active Tourer,Série 2 Active Tourer 1.5 F45/F46 (2014-2021),1.5,CHAÎNE,102-231,-,-,bmw,serie-2-active-tourer
BMW,Série 2 Active Tourer,Série 2 Active Tourer 2.0 essence F45/F46 (2014-2021),2.0 essence,CHAÎNE,102-231,-,-,bmw,serie-2-active-tourer
BMW,Série 2 Active Tourer,Série 2 Active Tourer 1.5 F45/F46 (2014-2021),1.5,CHAÎNE,95-190,-,-,bmw,serie-2-active-tourer
BMW,Série 2 Active Tourer,Série 2 Active Tourer 2.0 diesel F45/F46 (2014-2021),2.0 diesel,CHAÎNE,95-190,-,-,bmw,serie-2-active-tourer
BMW,Série 2 Active Tourer,Série 2 Active Tourer 1.5 U06 (2021-…),1.5,CHAÎNE,136-218,-,-,bmw,serie-2-active-tourer
BMW,Série 2 Active Tourer,Série 2 Active Tourer 2.0 essence U06 (2021-…),2.0 essence,CHAÎNE,136-218,-,-,bmw,serie-2-active-tourer
BMW,Série 2 Active Tourer,Série 2 Active Tourer diesel U06 (2021-…),diesel,CHAÎNE,136-218,-,-,bmw,serie-2-active-tourer
BMW,Série 3,Série 3 2.0 E46 (2000-2005),2.0,CHAÎNE,143-231,-,-,bmw,serie-3
BMW,Série 3,Série 3 2.5 E46 (2000-2005),2.5,CHAÎNE,143-231,-,-,bmw,serie-3
BMW,Série 3,Série 3 3.0 essence E46 (2000-2005),3.0 essence,CHAÎNE,143-231,-,-,bmw,serie-3
BMW,Série 3,Série 3 2.0 diesel E46 (2001-2005),2.0 diesel,CHAÎNE,115-150,-,-,bmw,serie-3
BMW,Série 3,Série 3 M3 E46 (2003-2006),M3,CHAÎNE,343,-,-,bmw,serie-3
