slug,marque,modele,année,prix_min,prix_max,prix_moy,confidence
dacia-sandero,Dacia,Sandero,2025,16065,21735,18900,100
dacia-sandero,Dacia,Sandero,2024,14790,20010,17400,100
dacia-sandero,Dacia,Sandero,2023,13685,18515,16100,100
dacia-sandero,Dacia,Sandero,2022,12580,17020,14800,100
dacia-sandero,Dacia,Sandero,2021,11220,15180,13200,100
dacia-sandero,Dacia,Sandero,2020,9690,13110,11400,100
dacia-sandero,Dacia,Sandero,2019,8670,11730,10200,100
dacia-sandero,Dacia,Sandero,2018,7905,10695,9300,100
dacia-sandero,Dacia,Sandero,2017,7140,9660,8400,100
dacia-sandero,Dacia,Sandero,2016,6460,8740,7600,100
dacia-sandero,Dacia,Sandero,2015,5695,7705,6700,100
dacia-sandero,Dacia,Sandero,2014,5015,6785,5900,100
dacia-sandero,Dacia,Sandero,2013,4420,5980,5200,100
dacia-sandero,Dacia,Sandero,2012,3485,4715,4100,100
dacia-sandero,Dacia,Sandero,2011,2890,3910,3400,100
dacia-sandero,Dacia,Sandero,2010,2465,3335,2900,100
dacia-sandero,Dacia,Sandero,2009,2125,2875,2500,100
dacia-sandero,Dacia,Sandero,2008,1870,2530,2200,100
aiways-u5,Aiways,U5,2024,21930,29670,25800,100
aiways-u5,Aiways,U5,2023,19635,26565,23100,100
aiways-u5,Aiways,U5,2022,17340,23460,20400,100
aiways-u5,Aiways,U5,2021,14620,19780,17200,100
aiways-u5,Aiways,U5,2020,12580,17020,14800,100
alfa-romeo-4c,Alfa Romeo,4C,2021,103700,140300,122000,100
alfa-romeo-4c,Alfa Romeo,4C,2020,91800,124200,108000,100
alfa-romeo-4c,Alfa Romeo,4C,2019,80325,108675,94500,100
alfa-romeo-4c,Alfa Romeo,4C,2018,73100,98900,86000,100
alfa-romeo-4c,Alfa Romeo,4C,2017,67575,91425,79500,100
alfa-romeo-4c,Alfa Romeo,4C,2016,64770,87630,76200,100
alfa-romeo-4c,Alfa Romeo,4C,2015,61625,83375,72500,100
alfa-romeo-4c,Alfa Romeo,4C,2014,56780,76820,66800,100
alfa-romeo-4c,Alfa Romeo,4C,2013,54825,74175,64500,100
alfa-romeo-8c-competizione,Alfa Romeo,8C Competizione,2010,391000,529000,460000,100
alfa-romeo-8c-competizione,Alfa Romeo,8C Competizione,2009,335750,454250,395000,100
alfa-romeo-8c-competizione,Alfa Romeo,8C Competizione,2008,293250,396750,345000,100
alfa-romeo-8c-competizione,Alfa Romeo,8C Competizione,2007,267750,362250,315000,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2026,51850,70150,61000,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2025,48025,64975,56500,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2024,42330,57270,49800,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2023,36720,49680,43200,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2022,31875,43125,37500,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2021,27880,37720,32800,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2020,24225,32775,28500,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2019,19720,26680,23200,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2018,16575,22425,19500,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2017,14365,19435,16900,100
alfa-romeo-giulia,Alfa Romeo,Giulia,2016,12580,17020,14800,100
alpine-a110,Alpine,A110,2026,86700,117300,102000,100
alpine-a110,Alpine,A110,2025,79900,108100,94000,100
alpine-a110,Alpine,A110,2024,73100,98900,86000,100
alpine-a110,Alpine,A110,2023,67575,91425,79500,100
alpine-a110,Alpine,A110,2022,61200,82800,72000,100
alpine-a110,Alpine,A110,2021,55250,74750,65000,100
alpine-a110,Alpine,A110,2020,52275,70725,61500,100
alpine-a110,Alpine,A110,2019,50150,67850,59000,100
alpine-a110,Alpine,A110,2018,48025,64975,56500,100
alpine-a290,Alpine,A290,2026,36125,48875,42500,100
alpine-a290,Alpine,A290,2025,30430,41170,35800,100
alpine-a290,Alpine,A290,2024,26265,35535,30900,100
audi-a1,Audi,A1,2026,32130,43470,37800,100
audi-a1,Audi,A1,2025,29070,39330,34200,100
audi-a1,Audi,A1,2024,26775,36225,31500,100
audi-a1,Audi,A1,2023,24480,33120,28800,100
audi-a1,Audi,A1,2022,22185,30015,26100,100
audi-a1,Audi,A1,2021,20145,27255,23700,100
audi-a1,Audi,A1,2020,18190,24610,21400,100
audi-a1,Audi,A1,2019,16320,22080,19200,100
audi-a1,Audi,A1,2018,14365,19435,16900,100
audi-a1,Audi,A1,2017,12580,17020,14800,100
audi-a1,Audi,A1,2016,11135,15065,13100,100
audi-a1,Audi,A1,2015,9860,13340,11600,100
audi-a1,Audi,A1,2014,8670,11730,10200,100
audi-a1,Audi,A1,2013,7565,10235,8900,100
audi-a1,Audi,A1,2012,6885,9315,8100,100
audi-a1,Audi,A1,2011,6290,8510,7400,100
audi-a1,Audi,A1,2010,5780,7820,6800,100
audi-a2,Audi,A2,2005,6970,9430,8200,100
audi-a2,Audi,A2,2004,5780,7820,6800,100
audi-a2,Audi,A2,2003,4760,6440,5600,100
audi-a2,Audi,A2,2002,4165,5635,4900,100
audi-a2,Audi,A2,2001,3570,4830,4200,100
audi-a2,Audi,A2,2000,3230,4370,3800,100
audi-a3,Audi,A3,2026,45900,62100,54000,100
audi-a3,Audi,A3,2025,41820,56580,49200,100
audi-a3,Audi,A3,2024,37825,51175,44500,100
audi-a3,Audi,A3,2023,33830,45770,39800,100
audi-a3,Audi,A3,2022,30090,40710,35400,100
audi-a3,Audi,A3,2021,26520,35880,31200,100
audi-a3,Audi,A3,2020,23375,31625,27500,100
audi-a3,Audi,A3,2019,20570,27830,24200,100
audi-a3,Audi,A3,2018,18530,25070,21800,100
audi-a3,Audi,A3,2017,16575,22425,19500,100
audi-a3,Audi,A3,2016,14790,20010,17400,100
audi-a3,Audi,A3,2015,13175,17825,15500,100
audi-a3,Audi,A3,2014,11730,15870,13800,100
audi-a3,Audi,A3,2013,10370,14030,12200,100
audi-a3,Audi,A3,2012,9180,12420,10800,100
audi-a3,Audi,A3,2011,7990,10810,9400,100
audi-a3,Audi,A3,2010,6970,9430,8200,100
audi-a3,Audi,A3,2009,6035,8165,7100,100
audi-a3,Audi,A3,2008,5270,7130,6200,100
audi-a3,Audi,A3,2007,4675,6325,5500,100
audi-a3,Audi,A3,2006,4165,5635,4900,100
audi-a3,Audi,A3,2005,3740,5060,4400,100
audi-a3,Audi,A3,2004,3315,4485,3900,100
audi-a3,Audi,A3,2003,2890,3910,3400,100
audi-a3,Audi,A3,2002,2465,3335,2900,100
audi-a3,Audi,A3,2001,2210,2990,2600,100
audi-a3,Audi,A3,2000,1955,2645,2300,100
audi-a3,Audi,A3,1999,1785,2415,2100,100
audi-a3,Audi,A3,1998,1530,2070,1800,100
audi-a3,Audi,A3,1997,1360,1840,1600,100
audi-a3,Audi,A3,1996,1190,1610,1400,100
bmw-serie-1,BMW,SÃ©rie 1,2026,44625,60375,52500,100
bmw-serie-1,BMW,SÃ©rie 1,2025,40800,55200,48000,100
bmw-serie-1,BMW,SÃ©rie 1,2024,36125,48875,42500,100
bmw-serie-1,BMW,SÃ©rie 1,2023,32130,43470,37800,100
bmw-serie-1,BMW,SÃ©rie 1,2022,28220,38180,33200,100
bmw-serie-1,BMW,SÃ©rie 1,2021,25075,33925,29500,100
bmw-serie-1,BMW,SÃ©rie 1,2020,22270,30130,26200,100
bmw-serie-1,BMW,SÃ©rie 1,2019,19975,27025,23500,100
bmw-serie-1,BMW,SÃ©rie 1,2018,17680,23920,20800,100
bmw-serie-1,BMW,SÃ©rie 1,2017,15640,21160,18400,100
bmw-serie-1,BMW,SÃ©rie 1,2016,13770,18630,16200,100
bmw-serie-1,BMW,SÃ©rie 1,2015,12325,16675,14500,100
bmw-serie-1,BMW,SÃ©rie 1,2014,10880,14720,12800,100
bmw-serie-1,BMW,SÃ©rie 1,2013,9520,12880,11200,100
bmw-serie-1,BMW,SÃ©rie 1,2012,8330,11270,9800,100
bmw-serie-1,BMW,SÃ©rie 1,2011,7225,9775,8500,100
bmw-serie-1,BMW,SÃ©rie 1,2010,6035,8165,7100,100
bmw-serie-1,BMW,SÃ©rie 1,2009,5270,7130,6200,100
bmw-serie-1,BMW,SÃ©rie 1,2008,4590,6210,5400,100
bmw-serie-1,BMW,SÃ©rie 1,2007,4080,5520,4800,100
bmw-serie-1,BMW,SÃ©rie 1,2006,3485,4715,4100,100
bmw-serie-1,BMW,SÃ©rie 1,2005,3060,4140,3600,100
bmw-serie-1,BMW,SÃ©rie 1,2004,2720,3680,3200,100
bmw-i4,BMW,i4,2026,61540,83260,72400,100
bmw-i4,BMW,i4,2025,55080,74520,64800,100
bmw-i4,BMW,i4,2024,47770,64630,56200,100
bmw-i4,BMW,i4,2023,41225,55775,48500,100
bmw-i4,BMW,i4,2022,36380,49220,42800,100
bmw-i4,BMW,i4,2021,31620,42780,37200,100
bmw-i3,BMW,i3,2022,22950,31050,27000,100
bmw-i3,BMW,i3,2021,20825,28175,24500,100
bmw-i3,BMW,i3,2020,18700,25300,22000,100
bmw-i3,BMW,i3,2019,16575,22425,19500,100
bmw-i3,BMW,i3,2018,14620,19780,17200,100
bmw-i3,BMW,i3,2017,12325,16675,14500,100
bmw-i3,BMW,i3,2016,10880,14720,12800,100
bmw-i3,BMW,i3,2015,8925,12075,10500,100
bmw-i3,BMW,i3,2014,7820,10580,9200,100
bmw-i3,BMW,i3,2013,7225,9775,8500,100
byd-atto-2,BYD,Atto 2,2026,23970,32430,28200,100
byd-atto-2,BYD,Atto 2,2025,21080,28520,24800,100
byd-atto-3,BYD,Atto 3,2026,30770,41630,36200,100
byd-atto-3,BYD,Atto 3,2025,27115,36685,31900,100
byd-atto-3,BYD,Atto 3,2024,23290,31510,27400,100
byd-atto-3,BYD,Atto 3,2023,19380,26220,22800,100
byd-dolphin,BYD,Dolphin,2026,25415,34385,29900,100
byd-dolphin,BYD,Dolphin,2025,22780,30820,26800,100
byd-dolphin,BYD,Dolphin,2024,19125,25875,22500,100
byd-dolphin,BYD,Dolphin,2023,16320,22080,19200,100
citroen-c3,Citroen,C3,2026,20230,27370,23800,100
citroen-c3,Citroen,C3,2025,18020,24380,21200,100
citroen-c3,Citroen,C3,2024,15725,21275,18500,100
citroen-c3,Citroen,C3,2023,14280,19320,16800,100
citroen-c3,Citroen,C3,2022,12920,17480,15200,100
citroen-c3,Citroen,C3,2021,11815,15985,13900,100
citroen-c3,Citroen,C3,2020,10710,14490,12600,100
citroen-c3,Citroen,C3,2019,9690,13110,11400,100
citroen-c3,Citroen,C3,2018,8755,11845,10300,100
citroen-c3,Citroen,C3,2017,7735,10465,9100,100
citroen-c3,Citroen,C3,2016,6970,9430,8200,100
citroen-c3,Citroen,C3,2015,6035,8165,7100,100
citroen-c3,Citroen,C3,2014,5270,7130,6200,100
citroen-c3,Citroen,C3,2013,4675,6325,5500,100
citroen-c3,Citroen,C3,2012,4165,5635,4900,100
citroen-c3,Citroen,C3,2011,3655,4945,4300,100
citroen-c3,Citroen,C3,2010,3230,4370,3800,100
citroen-c3,Citroen,C3,2009,2720,3680,3200,100
citroen-c3,Citroen,C3,2008,2380,3220,2800,100
citroen-c3,Citroen,C3,2007,2040,2760,2400,100
citroen-c3,Citroen,C3,2006,1785,2415,2100,100
citroen-c3,Citroen,C3,2005,1530,2070,1800,100
citroen-c3,Citroen,C3,2004,1275,1725,1500,100
citroen-c3,Citroen,C3,2003,1105,1495,1300,100
citroen-c3,Citroen,C3,2002,935,1265,1100,100
citroen-c4-picasso,Citroen,C4 Picasso,2018,13430,18170,15800,100
citroen-c4-picasso,Citroen,C4 Picasso,2017,11475,15525,13500,100
citroen-c4-picasso,Citroen,C4 Picasso,2016,9520,12880,11200,100
citroen-c4-picasso,Citroen,C4 Picasso,2015,7990,10810,9400,100
citroen-c4-picasso,Citroen,C4 Picasso,2014,6630,8970,7800,100
citroen-c4-picasso,Citroen,C4 Picasso,2013,5270,7130,6200,100
citroen-c4-picasso,Citroen,C4 Picasso,2012,3910,5290,4600,100
citroen-c4-picasso,Citroen,C4 Picasso,2011,3230,4370,3800,100
citroen-c4-picasso,Citroen,C4 Picasso,2010,2635,3565,3100,100
citroen-c4-picasso,Citroen,C4 Picasso,2009,2125,2875,2500,100
citroen-c4-picasso,Citroen,C4 Picasso,2008,1785,2415,2100,100
citroen-c4-picasso,Citroen,C4 Picasso,2007,1530,2070,1800,100
citroen-c6,Citroen,C6,2013,14875,20125,17500,100
citroen-c6,Citroen,C6,2012,13430,18170,15800,100
citroen-c6,Citroen,C6,2011,11220,15180,13200,100
citroen-c6,Citroen,C6,2010,9775,13225,11500,100
citroen-c6,Citroen,C6,2009,8330,11270,9800,100
citroen-c6,Citroen,C6,2008,6120,8280,7200,100
citroen-c6,Citroen,C6,2007,5440,7360,6400,100
citroen-c6,Citroen,C6,2006,4930,6670,5800,100
citroen-c6,Citroen,C6,2005,4420,5980,5200,100
dacia-jogger,Dacia,Jogger,2026,21165,28635,24900,100
dacia-jogger,Dacia,Jogger,2025,19040,25760,22400,100
dacia-jogger,Dacia,Jogger,2024,16830,22770,19800,100
dacia-jogger,Dacia,Jogger,2023,14620,19780,17200,100
dacia-jogger,Dacia,Jogger,2022,11730,15870,13800,100
dacia-lodgy,Dacia,Lodgy,2022,14620,19780,17200,100
dacia-lodgy,Dacia,Lodgy,2021,13430,18170,15800,100
dacia-lodgy,Dacia,Lodgy,2020,12070,16330,14200,100
dacia-lodgy,Dacia,Lodgy,2019,10880,14720,12800,100
dacia-lodgy,Dacia,Lodgy,2018,9520,12880,11200,100
dacia-lodgy,Dacia,Lodgy,2017,8075,10925,9500,100
dacia-lodgy,Dacia,Lodgy,2016,6970,9430,8200,100
dacia-lodgy,Dacia,Lodgy,2015,5780,7820,6800,100
dacia-lodgy,Dacia,Lodgy,2014,4675,6325,5500,100
dacia-lodgy,Dacia,Lodgy,2013,4080,5520,4800,100
dacia-lodgy,Dacia,Lodgy,2012,3570,4830,4200,100
dacia-logan,Dacia,Logan,2020,10030,13570,11800,100
dacia-logan,Dacia,Logan,2019,8670,11730,10200,100
dacia-logan,Dacia,Logan,2018,7565,10235,8900,100
dacia-logan,Dacia,Logan,2017,6630,8970,7800,100
dacia-logan,Dacia,Logan,2016,5865,7935,6900,100
dacia-logan,Dacia,Logan,2015,5185,7015,6100,100
dacia-logan,Dacia,Logan,2014,4505,6095,5300,100
dacia-logan,Dacia,Logan,2013,3910,5290,4600,100
dacia-logan,Dacia,Logan,2012,3315,4485,3900,100
dacia-logan,Dacia,Logan,2011,2805,3795,3300,100
dacia-logan,Dacia,Logan,2010,2380,3220,2800,100
dacia-logan,Dacia,Logan,2009,2040,2760,2400,100
dacia-logan,Dacia,Logan,2008,1785,2415,2100,100
dacia-logan,Dacia,Logan,2007,1530,2070,1800,100
dacia-logan,Dacia,Logan,2006,1275,1725,1500,100
dacia-logan,Dacia,Logan,2005,1020,1380,1200,100
fiat-panda,Fiat,Panda,2025,15725,21275,18500,100
fiat-panda,Fiat,Panda,2024,13430,18170,15800,100
fiat-panda,Fiat,Panda,2023,11390,15410,13400,100
fiat-panda,Fiat,Panda,2022,10285,13915,12100,100
fiat-panda,Fiat,Panda,2021,9265,12535,10900,100
fiat-panda,Fiat,Panda,2020,8330,11270,9800,100
fiat-panda,Fiat,Panda,2019,7565,10235,8900,100
fiat-panda,Fiat,Panda,2018,6970,9430,8200,100
fiat-panda,Fiat,Panda,2017,6375,8625,7500,100
fiat-panda,Fiat,Panda,2016,5865,7935,6900,100
fiat-panda,Fiat,Panda,2015,5355,7245,6300,100
fiat-panda,Fiat,Panda,2014,4845,6555,5700,100
fiat-panda,Fiat,Panda,2013,4335,5865,5100,100
fiat-panda,Fiat,Panda,2012,3910,5290,4600,100
fiat-panda,Fiat,Panda,2011,3230,4370,3800,100
fiat-panda,Fiat,Panda,2010,2890,3910,3400,100
fiat-panda,Fiat,Panda,2009,2635,3565,3100,100
fiat-panda,Fiat,Panda,2008,2380,3220,2800,100
fiat-panda,Fiat,Panda,2007,2125,2875,2500,100
fiat-panda,Fiat,Panda,2006,1955,2645,2300,100
fiat-panda,Fiat,Panda,2005,1785,2415,2100,100
fiat-panda,Fiat,Panda,2004,1615,2185,1900,100
fiat-panda,Fiat,Panda,2003,1530,2070,1800,100
fiat-panda,Fiat,Panda,2002,1190,1610,1400,100
fiat-panda,Fiat,Panda,2001,1275,1725,1500,100
fiat-panda,Fiat,Panda,2000,2125,2875,2500,100
fiat-panda,Fiat,Panda,1999,1445,1955,1700,100
fiat-panda,Fiat,Panda,1998,1530,2070,1800,100
fiat-panda,Fiat,Panda,1997,1615,2185,1900,100
fiat-panda,Fiat,Panda,1996,1700,2300,2000,100
fiat-panda,Fiat,Panda,1995,2380,3220,2800,100
fiat-panda,Fiat,Panda,1994,1870,2530,2200,100
fiat-panda,Fiat,Panda,1993,1955,2645,2300,100
fiat-panda,Fiat,Panda,1992,2040,2760,2400,100
fiat-panda,Fiat,Panda,1991,2125,2875,2500,100
fiat-panda,Fiat,Panda,1990,2720,3680,3200,100
fiat-panda,Fiat,Panda,1989,2465,3335,2900,100
fiat-panda,Fiat,Panda,1988,2635,3565,3100,100
fiat-panda,Fiat,Panda,1987,2805,3795,3300,100
fiat-panda,Fiat,Panda,1986,2975,4025,3500,100
fiat-panda,Fiat,Panda,1985,3230,4370,3800,100
fiat-panda,Fiat,Panda,1984,3400,4600,4000,100
fiat-panda,Fiat,Panda,1983,3570,4830,4200,100
fiat-panda,Fiat,Panda,1982,3740,5060,4400,100
fiat-panda,Fiat,Panda,1981,3910,5290,4600,100
fiat-panda,Fiat,Panda,1980,3825,5175,4500,100
fiat-tipo,Fiat,Tipo,2026,23120,31280,27200,100
fiat-tipo,Fiat,Tipo,2025,21590,29210,25400,100
fiat-tipo,Fiat,Tipo,2024,19380,26220,22800,100
fiat-tipo,Fiat,Tipo,2023,17170,23230,20200,100
fiat-tipo,Fiat,Tipo,2022,14875,20125,17500,100
fiat-tipo,Fiat,Tipo,2021,12580,17020,14800,100
fiat-tipo,Fiat,Tipo,2020,10965,14835,12900,100
fiat-tipo,Fiat,Tipo,2019,9180,12420,10800,100
fiat-tipo,Fiat,Tipo,2018,7820,10580,9200,100
fiat-tipo,Fiat,Tipo,2017,6460,8740,7600,100
fiat-tipo,Fiat,Tipo,2016,5440,7360,6400,100
fiat-tipo,Fiat,Tipo,1995,2125,2875,2500,100
fiat-tipo,Fiat,Tipo,1994,1870,2530,2200,100
fiat-tipo,Fiat,Tipo,1993,1615,2185,1900,100
fiat-tipo,Fiat,Tipo,1992,1445,1955,1700,100
fiat-tipo,Fiat,Tipo,1991,1275,1725,1500,100
fiat-tipo,Fiat,Tipo,1990,1190,1610,1400,100
fiat-tipo,Fiat,Tipo,1989,1020,1380,1200,100
fiat-tipo,Fiat,Tipo,1988,935,1265,1100,100
fiat-500,Fiat,500,2026,26775,36225,31500,100
fiat-500,Fiat,500,2025,23630,31970,27800,100
fiat-500,Fiat,500,2024,20570,27830,24200,100
fiat-500,Fiat,500,2023,18275,24725,21500,100
fiat-500,Fiat,500,2022,15980,21620,18800,100
fiat-500,Fiat,500,2021,14025,18975,16500,100
fiat-500,Fiat,500,2020,12070,16330,14200,100
fiat-500,Fiat,500,2019,9775,13225,11500,100
fiat-500,Fiat,500,2018,8840,11960,10400,100
fiat-500,Fiat,500,2017,8075,10925,9500,100
fiat-500,Fiat,500,2016,7310,9890,8600,100
fiat-500,Fiat,500,2015,6630,8970,7800,100
fiat-500,Fiat,500,2014,5865,7935,6900,100
fiat-500,Fiat,500,2013,5270,7130,6200,100
fiat-500,Fiat,500,2012,4675,6325,5500,100
fiat-500,Fiat,500,2011,4165,5635,4900,100
fiat-500,Fiat,500,2010,3740,5060,4400,100
fiat-500,Fiat,500,2009,3315,4485,3900,100
fiat-500,Fiat,500,2008,2975,4025,3500,100
fiat-500,Fiat,500,2007,2720,3680,3200,100
ford-cougar,Ford,Cougar,2002,4420,5980,5200,100
ford-cougar,Ford,Cougar,2001,3825,5175,4500,100
ford-cougar,Ford,Cougar,2000,3060,4140,3600,100
ford-cougar,Ford,Cougar,1999,2720,3680,3200,100
ford-cougar,Ford,Cougar,1998,2380,3220,2800,100
ford-b-max,Ford,B-Max,2017,9690,13110,11400,100
ford-b-max,Ford,B-Max,2016,8245,11155,9700,100
ford-b-max,Ford,B-Max,2015,6970,9430,8200,100
ford-b-max,Ford,B-Max,2014,5865,7935,6900,100
ford-b-max,Ford,B-Max,2013,4930,6670,5800,100
ford-b-max,Ford,B-Max,2012,4165,5635,4900,100
ford-ka,Ford,Ka,2017,7565,10235,8900,100
ford-ka,Ford,Ka,2016,6460,8740,7600,100
ford-ka,Ford,Ka,2015,5865,7935,6900,100
ford-ka,Ford,Ka,2014,5355,7245,6300,100
ford-ka,Ford,Ka,2013,4845,6555,5700,100
ford-ka,Ford,Ka,2012,4335,5865,5100,100
ford-ka,Ford,Ka,2011,3910,5290,4600,100
ford-ka,Ford,Ka,2010,3485,4715,4100,100
ford-ka,Ford,Ka,2009,3060,4140,3600,100
ford-ka,Ford,Ka,2008,2635,3565,3100,100
ford-ka,Ford,Ka,2007,2125,2875,2500,100
ford-ka,Ford,Ka,2006,1870,2530,2200,100
ford-ka,Ford,Ka,2005,1700,2300,2000,100
ford-ka,Ford,Ka,2004,1530,2070,1800,100
ford-ka,Ford,Ka,2003,1403,1897,1650,100
ford-ka,Ford,Ka,2002,1275,1725,1500,100
ford-ka,Ford,Ka,2001,1190,1610,1400,100
ford-ka,Ford,Ka,2000,1105,1495,1300,100
ford-ka,Ford,Ka,1999,1020,1380,1200,100
ford-ka,Ford,Ka,1998,935,1265,1100,100
ford-ka,Ford,Ka,1997,850,1150,1000,100
ford-ka,Ford,Ka,1996,765,1035,900,100
honda-accord,Honda,Accord,2015,14875,20125,17500,100
honda-accord,Honda,Accord,2014,13515,18285,15900,100
honda-accord,Honda,Accord,2013,12070,16330,14200,100
honda-accord,Honda,Accord,2012,10880,14720,12800,100
honda-accord,Honda,Accord,2011,9520,12880,11200,100
honda-accord,Honda,Accord,2010,8330,11270,9800,100
honda-accord,Honda,Accord,2009,7310,9890,8600,100
honda-accord,Honda,Accord,2008,6290,8510,7400,100
honda-accord,Honda,Accord,2007,5270,7130,6200,100
honda-accord,Honda,Accord,2006,4675,6325,5500,100
honda-accord,Honda,Accord,2005,4165,5635,4900,100
honda-accord,Honda,Accord,2004,3740,5060,4400,100
honda-accord,Honda,Accord,2003,3315,4485,3900,100
honda-accord,Honda,Accord,2002,2805,3795,3300,100
honda-accord,Honda,Accord,2001,2380,3220,2800,100
honda-accord,Honda,Accord,2000,2040,2760,2400,100
honda-accord,Honda,Accord,1999,1785,2415,2100,100
honda-accord,Honda,Accord,1998,1530,2070,1800,100
honda-cr-z,Honda,CR-Z,2015,12920,17480,15200,100
honda-cr-z,Honda,CR-Z,2014,11475,15525,13500,100
honda-cr-z,Honda,CR-Z,2013,10030,13570,11800,100
honda-cr-z,Honda,CR-Z,2012,7820,10580,9200,100
